metric,unit,U-Net base_mean,U-Net base_std,U-Net base_ci95_hw,U-Net geom_mean,U-Net geom_std,U-Net geom_ci95_hw,DoseGAN base_mean,DoseGAN base_std,DoseGAN base_ci95_hw,DoseGAN geom_mean,DoseGAN geom_std,DoseGAN geom_ci95_hw,section
Body MAE,Gy,0.8267029830081867,0.02553802195289296,0.03170964244424464,0.8312930306365252,0.028288082873146547,0.03512429408179063,0.9022732673619067,0.05571745394607197,0.06918235663641395,0.8243021344375009,0.03104334101019818,0.03854539891632562,1. Global dose accuracy
Body RMSE,Gy,1.543854347285144,0.03266983654730597,0.04056495986799147,1.5283394272748472,0.04265580665623779,0.05296417943939105,1.6500238476970026,0.08864255771967239,0.11006427262921657,1.4978379868039906,0.07474540594433092,0.09280867959220152,1. Global dose accuracy
PTV MAE,Gy,0.48459501546738276,0.09294972922092791,0.11541233241641481,0.4565506368621725,0.10922033710082853,0.13561496044977792,0.38262250371793166,0.03824382596386854,0.04748598185290603,0.4288341795805647,0.1044974861044488,0.12975076639869243,1. Global dose accuracy
Rectum MAE,Gy,1.748513177951942,0.06118156317743864,0.0759669443512548,1.849977176348751,0.123865042726025,0.15379876418887656,1.949359650642331,0.10913259342419906,0.1355060122854371,1.9629484807063544,0.06369009371464199,0.07908169640769494,1. Global dose accuracy
Bladder MAE,Gy,1.3541301856059493,0.049972892082960726,0.062049540985534356,1.4071717457367903,0.060229935222705915,0.07478534218017889,1.516575141926908,0.09084643884642234,0.11280075248062273,1.4629265455615295,0.08311394645417552,0.10319959506078534,1. Global dose accuracy
PTV D95 |err|,Gy,0.19518750984109978,0.05149005495126777,0.06393334749852278,0.2108486700923034,0.05096398286851695,0.06328014273291102,0.22969842958079578,0.05868876245980596,0.0728717234454738,0.21350081781686034,0.06373952561641384,0.0791430742204878,2a. DVH accuracy (mean |error|)
PTV D98 |err|,Gy,0.2534180325872145,0.055740096787141105,0.06921047143698654,0.2711622946441548,0.05103922621555464,0.06337356968803207,0.32226551766309064,0.04084672309052116,0.050717905506098615,0.29346728051251636,0.05729648108890175,0.07114297779185225,2a. DVH accuracy (mean |error|)
PTV Dmean |err|,Gy,0.14490194168853474,0.10100740046648492,0.12541725271138465,0.16527219064056495,0.15560891294869628,0.1932139850080201,0.1718071913198381,0.0741477117671158,0.09206654425041746,0.24501190609245196,0.17892817965136623,0.2221686789372372,2a. DVH accuracy (mean |error|)
PTV D0.1cc |err|,Gy,1.7517001737095346,1.0518932761619995,1.306098010962967,0.5739768962161004,0.35751705625379876,0.44391605749413265,0.811735560937265,0.2869688171327901,0.3563188488409057,1.0537460739548141,0.16629192460722583,0.20647869597680732,2a. DVH accuracy (mean |error|)
Rectum Dmean |err|,Gy,1.0905417115720986,0.11277342619006891,0.1400267032542983,1.109324339203197,0.10462075052314575,0.12990381938964796,1.154006086460355,0.09867347413794167,0.12251930041477262,1.1710792993448789,0.06496240855685012,0.08066148394164509,2a. DVH accuracy (mean |error|)
