fold,acquisition_group,count,mean,std,median,q25,q75
0,newAcq,19,0.9659716486930847,0.1716073293225363,0.9617250561714172,0.8715987503528595,1.0421525239944458
0,oldAcq,55,0.9861183643341065,0.20111749711552374,0.9454448223114014,0.8534722626209259,1.0832101702690125
1,newAcq,19,0.8741130358294437,0.17049612682520848,0.8499636054039001,0.7829253375530243,0.8932045698165894
1,oldAcq,55,0.9693905841220509,0.32949635240869635,0.886802613735199,0.7512496113777161,1.0094739198684692
2,newAcq,18,0.8648871150281694,0.17300395313272227,0.8563755750656128,0.7219998985528946,0.9611009508371352
2,oldAcq,55,0.844924352385781,0.21367259545728637,0.7599090337753296,0.715348869562149,0.9091589748859406
3,newAcq,18,0.9617363346947564,0.19371942003851955,0.9422851800918579,0.8698122501373291,0.9821735471487045
3,oldAcq,55,0.9419213370843367,0.29162494769651026,0.8640051484107971,0.7511629164218903,0.9764812886714935
4,newAcq,19,0.7983718043879459,0.13688956653046944,0.7918472290039062,0.6747405230998993,0.9192692041397095
4,oldAcq,54,0.8485136870984678,0.19987630310679272,0.8121490478515625,0.6913908571004868,0.9588889181613922
