fold,acquisition_group,count,mean,std,median,q25,q75
0,newAcq,19,0.9138165492760507,0.2056059995655825,0.8862208724021912,0.7597075402736664,0.9966362416744232
0,oldAcq,55,0.8389221852475947,0.14704706995304814,0.8472446203231812,0.7272470891475677,0.916909247636795
1,newAcq,19,0.9401027466121473,0.16158356445307898,0.9155325889587402,0.8663504719734192,1.0344918966293335
1,oldAcq,55,1.0202297698367726,0.30525826741441187,0.9621869325637816,0.8240733742713928,1.0662205219268799
2,newAcq,18,0.8129562106397417,0.13157131849268464,0.8022456765174866,0.7559880465269089,0.8538230061531067
2,oldAcq,55,0.9026997306130149,0.1546614764882334,0.8918193578720093,0.7877169847488403,0.9619992673397064
3,newAcq,18,0.936901675330268,0.12932155253626104,0.9262259900569916,0.8847930431365967,1.0236393213272095
3,oldAcq,55,0.8659562110900879,0.13339026534384857,0.8380008339881897,0.7644177973270416,0.9269121885299683
4,newAcq,19,0.9045965514684978,0.09337432092720933,0.9004665017127991,0.8455079793930054,0.9758261740207672
4,oldAcq,54,0.884238400944957,0.13086331036764645,0.8746209740638733,0.8003014624118805,0.962037205696106
