fold,acquisition_group,count,mean,std,median,q25,q75
0,newAcq,19,0.8503275576390719,0.1776030265365293,0.8439679145812988,0.7458184063434601,0.8855615556240082
0,oldAcq,55,0.8673739205707204,0.22456403653690735,0.8215605020523071,0.7192429006099701,0.9640751481056213
1,newAcq,19,0.8273841707330001,0.1192156570742146,0.8054049611091614,0.7569469511508942,0.8718865811824799
1,oldAcq,55,0.9200577020645142,0.29902714595878566,0.8622274398803711,0.7504892945289612,1.012551188468933
2,newAcq,18,0.8231262630886502,0.1332813236453587,0.7808953821659088,0.7257789373397827,0.8814141750335693
2,oldAcq,55,0.84184302741831,0.22248969431393356,0.784365713596344,0.6799362003803253,0.923103004693985
3,newAcq,18,0.8897648718621995,0.13798302330512008,0.8629615008831024,0.8088338375091553,0.9697291553020477
3,oldAcq,55,0.8675744717771356,0.22937525208792775,0.8122325539588928,0.7072100937366486,0.9275330007076263
4,newAcq,19,0.8160150396196466,0.1265020494308516,0.7822907567024231,0.7137434482574463,0.9173354208469392
4,oldAcq,54,0.8393579633147629,0.1829397797502758,0.8239532113075256,0.6973974257707596,0.9446090012788773
