fold,acquisition_group,count,mean,std,median,q25,q75
0,newAcq,19,0.8635617965146115,0.19406601579449684,0.8268160820007324,0.7389389276504517,0.9512044787406921
0,oldAcq,55,0.9038713357665322,0.25621042227721164,0.8653782606124878,0.7261999845504761,0.9799605906009674
1,newAcq,19,0.8891223167118273,0.14997876133369503,0.8615357875823975,0.808440238237381,0.9194216430187225
1,oldAcq,55,0.9704541878266768,0.3760472077435241,0.8908990025520325,0.7419549524784088,1.0334513783454895
2,newAcq,18,0.8395958609051175,0.1405954188542926,0.8597371876239777,0.7177620679140091,0.9233365505933762
2,oldAcq,55,0.8543951912359757,0.21846584469503494,0.776341438293457,0.7159827947616577,0.9158855378627778
3,newAcq,18,0.9410847193664975,0.1673382795134685,0.8758704364299774,0.839272141456604,1.0118866562843323
3,oldAcq,55,0.9144614739851518,0.2542647339164833,0.8247137665748596,0.7304832339286804,0.9981898069381714
4,newAcq,19,0.8229369427028456,0.11837971956956594,0.8395137786865234,0.7116456627845764,0.9156075716018676
4,oldAcq,54,0.8730003877922341,0.19732422892039328,0.834426075220108,0.7276221364736557,0.9556739479303361
