comparison,description,metric,lower_is_better,n_patients,mean_diff,std_diff,ci_lo_95,ci_hi_95,cohens_dz,shapiro_p,t_stat,t_pvalue,t_pvalue_fdr,wilcoxon_p,wilcoxon_p_fdr,pct_A_wins
unet_geom_effect,U-Net geom − U-Net baseline,body_MAE_Gy,True,367,0.0046,0.068,-0.0022,0.0115,0.067,0.0,1.289,0.1982,0.2511,0.42,0.4988,47.4
unet_geom_effect,U-Net geom − U-Net baseline,body_RMSE_Gy,True,367,-0.0154,0.0963,-0.0251,-0.0057,-0.16,0.0021,-3.066,0.0023,0.0044,0.0014,0.003,56.4
unet_geom_effect,U-Net geom − U-Net baseline,ptv_MAE_Gy,True,367,-0.0286,0.1671,-0.0453,-0.0112,-0.171,0.0,-3.275,0.0012,0.0028,0.0,0.0,79.3
unet_geom_effect,U-Net geom − U-Net baseline,rectum_MAE_Gy,True,367,0.1011,0.2933,0.0711,0.1307,0.345,0.0015,6.605,0.0,0.0,0.0,0.0,34.3
unet_geom_effect,U-Net geom − U-Net baseline,bladder_MAE_Gy,True,367,0.0527,0.2361,0.029,0.0768,0.223,0.0,4.28,0.0,0.0,0.0,0.0,41.4
unet_geom_effect,U-Net geom − U-Net baseline,boundary_MAE_ptv_Gy,True,367,0.0114,0.1501,-0.004,0.0268,0.076,0.0197,1.458,0.1458,0.1979,0.356,0.4509,48.0
unet_geom_effect,U-Net geom − U-Net baseline,boundary_MAE_rectum_Gy,True,367,0.0473,0.176,0.0292,0.0653,0.269,0.0001,5.154,0.0,0.0,0.0,0.0,41.7
unet_geom_effect,U-Net geom − U-Net baseline,boundary_MAE_bladder_Gy,True,367,0.0199,0.1522,0.0047,0.0354,0.131,0.0001,2.508,0.0126,0.0218,0.0207,0.0358,45.2
unet_geom_effect,U-Net geom − U-Net baseline,ptv_D95_diff,True,367,0.0323,0.2016,0.0121,0.0536,0.16,0.0,3.072,0.0023,0.0044,0.0398,0.0582,47.1
unet_geom_effect,U-Net geom − U-Net baseline,abs_ptv_D95_diff,True,367,0.0155,0.1697,-0.0015,0.033,0.091,0.0,1.752,0.0806,0.1276,0.6553,0.7324,51.0
unet_geom_effect,U-Net geom − U-Net baseline,ptv_Dmean_diff,True,367,-0.0137,0.2592,-0.0401,0.0129,-0.053,0.0,-1.011,0.3125,0.3505,0.0143,0.0272,59.9
unet_geom_effect,U-Net geom − U-Net baseline,abs_ptv_Dmean_diff,True,367,0.0196,0.2272,-0.0036,0.0435,0.086,0.0,1.656,0.0985,0.144,0.9178,0.9674,52.3
unet_geom_effect,U-Net geom − U-Net baseline,rectum_Dmean_diff,True,367,0.0811,0.4053,0.0403,0.1225,0.2,0.0061,3.833,0.0001,0.0003,0.0012,0.0028,46.3
unet_geom_effect,U-Net geom − U-Net baseline,abs_rectum_Dmean_diff,True,367,0.0188,0.3923,-0.0211,0.0594,0.048,0.0011,0.917,0.36,0.38,0.2339,0.3174,44.7
unet_geom_effect,U-Net geom − U-Net baseline,bladder_Dmean_diff,True,367,-0.0794,0.3739,-0.1174,-0.0407,-0.212,0.0254,-4.069,0.0001,0.0003,0.0,0.0,57.2
