condition,model,activation,fold,n_patients,body_MAE_Gy,body_RMSE_Gy
dosegan_sigmoid,dosegan,sigmoid,0,74,0.859661,1.518133
dosegan_sigmoid,dosegan,sigmoid,1,74,0.903634,1.566303
dosegan_sigmoid,dosegan,sigmoid,2,73,0.837413,1.480399
dosegan_sigmoid,dosegan,sigmoid,3,73,0.904046,1.568582
dosegan_sigmoid,dosegan,sigmoid,4,73,0.832945,1.474185
dosegan_tanh,dosegan,tanh,0,74,0.980946,1.671206
dosegan_tanh,dosegan,tanh,1,74,0.944927,1.61455
dosegan_tanh,dosegan,tanh,2,73,0.849847,1.478389
dosegan_tanh,dosegan,tanh,3,73,0.946807,1.65894
dosegan_tanh,dosegan,tanh,4,73,0.835463,1.486937
unet3d_sigmoid,unet3d,sigmoid,0,74,0.862997,1.514341
unet3d_sigmoid,unet3d,sigmoid,1,74,0.896263,1.55973
unet3d_sigmoid,unet3d,sigmoid,2,73,0.837228,1.480267
unet3d_sigmoid,unet3d,sigmoid,3,73,0.873046,1.543183
unet3d_sigmoid,unet3d,sigmoid,4,73,0.833282,1.472435
unet3d_tanh,unet3d,tanh,0,74,0.893522,1.68872
unet3d_tanh,unet3d,tanh,1,74,0.949572,1.714551
unet3d_tanh,unet3d,tanh,2,73,0.850746,1.615503
unet3d_tanh,unet3d,tanh,3,73,0.921026,1.713172
unet3d_tanh,unet3d,tanh,4,73,0.85997,1.616005
